AgS,ReT,Temp,pH,rpm,AdC,Ce,qe
Aged,PS,25.0,7.0,160.0,Single-ion,0.14956,0.34338681
Aged,PS,25.0,7.0,160.0,Single-ion,0.45532,0.54231913
Aged,PS,25.0,7.0,160.0,Single-ion,0.78134,0.7147996000000001
Aged,PS,25.0,7.0,160.0,Single-ion,1.03648,0.95830145
Virgin,PVC,25.0,7.0,160.0,Single-ion,0.02199,0.07596961
Virgin,PVC,25.0,7.0,160.0,Single-ion,0.13538,0.15677454
Virgin,PVC,25.0,7.0,160.0,Single-ion,0.21992,0.2734525
Virgin,PVC,25.0,7.0,160.0,Single-ion,0.6482,0.346648
Virgin,PVC,25.0,7.0,160.0,Single-ion,1.0461,0.44991887
Virgin,PVC,25.0,7.0,160.0,Single-ion,1.40451,0.59413574
Aged,PVC,25.0,7.0,160.0,Single-ion,0.00174,0.09517437
Aged,PVC,25.0,7.0,160.0,Single-ion,0.12121,0.17126869
Aged,PVC,25.0,7.0,160.0,Single-ion,0.19056,0.3049773
Aged,PVC,25.0,7.0,160.0,Single-ion,0.36167,0.63870527
Aged,PVC,25.0,7.0,160.0,Single-ion,0.73021,0.76444209
Aged,PVC,25.0,7.0,160.0,Single-ion,1.14279,0.85575528
Virgin,PE,25.0,,,Single-ion,0.6913,0.23430538
Virgin,PE,25.0,,,Single-ion,1.33874,0.23478679
Virgin,PE,25.0,,,Single-ion,1.96697,0.23729008
Virgin,PE,25.0,,,Single-ion,3.24264,0.23940825
Virgin,PE,25.0,,,Single-ion,4.96274,0.24479997
Virgin,PE,25.0,,,Single-ion,6.42496,0.24778466
Aged,PE,25.0,,,Single-ion,0.08502,0.23160953
Aged,PE,25.0,,,Single-ion,0.23042,0.23401654
Aged,PE,25.0,,,Single-ion,0.68307,0.23806033
Aged,PE,25.0,,,Single-ion,1.45396,0.24643674
Aged,PE,25.0,,,Single-ion,2.19742,0.25211729
Aged,PE,25.0,,,Single-ion,3.61849,0.26713706
Aged,PE,25.0,,,Single-ion,4.81734,0.27310645
Aged,PE,25.0,,,Single-ion,0.32369,0.24614789
Aged,PE,25.0,,,Single-ion,0.54591,0.26039742
Aged,PE,25.0,,,Single-ion,0.96839,0.2738767
Aged,PE,25.0,,,Single-ion,1.89839,0.29525099
Aged,PE,25.0,,,Single-ion,3.95867,0.31412198
Aged,PE,25.0,,,Single-ion,5.42363,0.31758808
Aged,PE,25.0,,,Single-ion,0.33741,0.25182845
Aged,PE,25.0,,,Single-ion,0.53768,0.27522463
Aged,PE,25.0,,,Single-ion,0.99033,0.31864717
Aged,PE,25.0,,,Single-ion,1.81335,0.35831476
Aged,PE,25.0,,,Single-ion,2.96556,0.38065186
Aged,PE,25.0,,,Single-ion,4.4415,0.38989479
Virgin,PE,25.0,,,Mixed,0.49104,0.00727579
Virgin,PE,25.0,,,Mixed,0.99033,0.01103073
Virgin,PE,25.0,,,Mixed,1.99166,0.01700013
Virgin,PE,25.0,,,Mixed,2.74335,0.02104391
Virgin,PE,25.0,,,Mixed,3.98884,0.0250877
Virgin,PE,25.0,,,Mixed,5.85434,0.03019057
Aged,PE,25.0,,,Mixed,0.24688,0.00506134
Aged,PE,25.0,,,Mixed,0.68307,0.0126675
Aged,PE,25.0,,,Mixed,1.14396,0.02345093
Aged,PE,25.0,,,Mixed,1.71458,0.03827813
Aged,PE,25.0,,,Mixed,2.81193,0.05849706
Aged,PE,25.0,,,Mixed,3.98061,0.06629578
Aged,PE,25.0,,,Mixed,5.00115,0.07948622
Aged,PE,25.0,,,Mixed,0.20847,0.04395868999999999
Aged,PE,25.0,,,Mixed,0.46086,0.06196316
Aged,PE,25.0,,,Mixed,0.7983,0.07900481999999999
Aged,PE,25.0,,,Mixed,2.3291,0.0954688
Aged,PE,25.0,,,Mixed,3.88185,0.09999398
Aged,PE,25.0,,,Mixed,5.27823,0.10268984
Aged,PE,25.0,,,Mixed,0.29352,0.05474211
Aged,PE,25.0,,,Mixed,0.5678499999999999,0.09161757
Aged,PE,25.0,,,Mixed,0.98485,0.1197315
Aged,PE,25.0,,,Mixed,2.03007,0.14534213
